Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
082826.455 01 1.089
082826.455 02 2.996
082826.455 03 0.608
082826.535 01 1.089
082826.535 02 2.996
082826.535 03 0.456
082826.616 01 1.089
082826.616 02 3.424
082826.616 03 0.760
082826.696 01 1.089
082826.696 02 3.424
082826.696 03 0.608
082826.776 01 1.089
082826.776 02 2.568
082826.776 03 0.456
082826.856 01 1.089
082826.856 02 2.996
082826.856 03 0.304
082826.936 01 1.089
082826.937 02 3.424
082826.937 03 -0.912
082827.017 01 1.089
082827.017 02 3.424
082827.017 03 -0.456
082827.097 01 1.089
082827.097 02 2.996
082827.097 03 -0.304
082827.177 01 1.089
082827.177 02 2.996
082827.177 03 0.304
082827.257 01 1.089
082827.257 02 2.996
082827.257 03 0.456
082827.337 01 1.092
082827.338 02 2.996
082827.338 03 -0.304
082827.418 01 1.092
082827.418 02 3.424
082827.418 03 -0.152
082827.498 01 1.092
082827.498 02 2.996
082827.498 03 -0.608
082827.578 01 1.092
082827.578 02 2.996
082827.578 03 -0.152
082827.658 01 1.089
082827.658 02 3.424
082827.658 03 0.304
082827.738 01 1.089
082827.738 02 2.996
082827.738 03 0.152
082827.818 01 1.092
082827.819 02 3.424
082827.819 03 0.304
082827.899 01 1.089
082827.899 02 2.996
082827.899 03 0.152
082827.979 01 1.092
082827.979 02 2.996
082827.979 03 -0.152
082828.059 01 1.089
082828.059 02 2.996
082828.059 03 1.064
082828.139 01 1.092
082828.139 02 2.996
082828.139 03 0.456
082828.220 01 1.092
082828.220 02 3.424
082828.220 03 1.064
082828.300 01 1.089
082828.300 02 3.424
082828.300 03 0.000
082828.380 01 1.089
082828.380 02 2.996
082828.380 03 0.000
082828.461 01 1.089
082828.461 02 3.424
082828.461 03 0.152
082828.541 01 1.089
082828.541 02 2.996
082828.541 03 0.304
082828.621 01 1.089
082828.621 02 3.424
082828.621 03 0.152
082828.701 01 1.089
082828.701 02 2.996
082828.701 03 0.456
082828.781 01 1.092
082828.781 02 2.568
082828.781 03 0.152
082828.862 01 1.092
082828.862 02 2.996
082828.862 03 0.760
082828.941 01 1.092
082828.941 02 2.996
082828.941 03 1.368
082829.021 01 1.089
082829.021 02 2.996
082829.022 03 0.304
082829.102 01 1.089
082829.102 02 2.996
082829.102 03 -1.368
082829.182 01 1.089
082829.182 02 2.996
082829.182 03 -1.216
082829.262 01 1.092
082829.262 02 2.996
082829.262 03 -0.760
082829.343 01 1.089
082829.343 02 2.996
082829.343 03 0.608
082829.423 01 1.089
082829.423 02 2.568
082829.423 03 1.824
082829.503 01 1.089
082829.503 02 2.996
082829.503 03 1.520
082829.584 01 1.092
082829.584 02 3.424
082829.584 03 0.456
082829.664 01 1.092
082829.664 02 3.424
082829.664 03 -1.216
082829.744 01 1.092
082829.744 02 3.424
082829.744 03 -1.064
082829.824 01 1.092
082829.824 02 2.996
082829.824 03 -0.760
082829.904 01 1.089
082829.904 02 2.568
082829.904 03 -0.456
082829.985 01 1.089
082829.985 02 2.996
082829.985 03 -0.152
082830.065 01 1.089
082830.065 02 3.424
082830.065 03 -0.608
082830.145 01 1.089
082830.145 02 2.996
082830.145 03 -0.608
082830.225 01 1.089
082830.225 02 2.996
082830.226 03 -0.304
082830.306 01 1.092
082830.306 02 3.424
082830.306 03 -0.456
082830.386 01 1.089
082830.386 02 2.996
082830.386 03 -0.456
082830.467 01 1.092
082830.467 02 2.996
082830.467 03 -0.608
082830.547 01 1.089
082830.547 02 3.424
082830.547 03 0.000
082830.628 01 1.089
082830.628 02 2.996
082830.628 03 0.304
082830.708 01 1.089
082830.708 02 2.568
082830.708 03 -0.304
082830.787 01 1.089
082830.787 02 2.996
082830.787 03 0.000
082830.867 01 1.089
082830.867 02 2.996
082830.867 03 -0.456
082830.948 01 1.089
082830.948 02 2.996
082830.948 03 -0.304
082831.028 01 1.089
082831.028 02 2.996
082831.028 03 -0.152
082831.109 01 1.089
082831.109 02 2.996
082831.109 03 0.152
082831.189 01 1.089
082831.189 02 2.996
082831.189 03 0.152
082831.269 01 1.089
082831.269 02 2.996
082831.269 03 -0.608
082831.349 01 1.089
082831.349 02 2.996
082831.349 03 -0.912
082831.430 01 1.089
082831.430 02 3.424
082831.430 03 -0.608
082831.509 01 1.092
082831.509 02 2.996
082831.509 03 -0.912
082831.589 01 1.089
082831.589 02 2.568
082831.589 03 0.456
082831.669 01 1.089
082831.669 02 2.996
082831.669 03 -1.064
082831.750 01 1.092
082831.750 02 2.568
082831.750 03 -0.304
082831.830 01 1.089
082831.830 02 2.996
082831.831 03 0.000
082831.911 01 1.092
082831.911 02 2.568
082831.911 03 -0.456
